"indulo_keszlet","cikkszam","megnevezes","szin","osztaly","meret"
5,15249,"Kardigán","sárga",1,"L"
5,15249,"Kardigán","sárga",1,"M"
4,15249,"Kardigán","sárga",1,"S"
6,15249,"Kardigán","sárga",1,"XL"
1,15250,"Póló","pink",1,"L"
1,15250,"Póló","pink",1,"M"
3,15250,"Póló","pink",1,"S"
2,15250,"Póló","sárga",1,"L"
3,15250,"Póló","sárga",1,"M"
3,15250,"Póló","sárga",1,"S"
2,15251,"Póló","pink",1,"L"
1,15251,"Póló","pink",1,"M"
1,15251,"Póló","pink",1,"S"
3,15251,"Póló","sárga",1,"L"
4,15251,"Póló","sárga",1,"S"
4,15252,"Ruha","beige",1,"XL"
1,15252,"Ruha","fekete",1,"L"
1,15252,"Ruha","fekete",1,"M"
2,15252,"Ruha","fekete",1,"XL"
2,15253,"Kardigán","fekete",1,"M"
1,15265,"Top","rózsa/narancs",1,"L"
1,15265,"Top","rózsa/narancs",1,"M"
1,15265,"Top","rózsa/narancs",1,"XL"
9,15272,"Póló","lila",1,"L"
14,15272,"Póló","lila",1,"M"
7,15272,"Póló","lila",1,"S"
8,15272,"Póló","lila",1,"XL"
4,15272,"Póló","mustár",1,"L"
10,15272,"Póló","mustár",1,"M"
11,15272,"Póló","mustár",1,"S"
9,15272,"Póló","mustár",1,"XL"
1,15275,"Ruha","pink",1,"M"
1,15275,"Ruha","pink",1,"S"
1,15275,"Ruha","pink",1,"XL"
2,15275,"Ruha","pink",2,"L"
1,15275,"Ruha","pink",2,"M"
3,15275,"Ruha","rózsaszín",1,"L"
2,15275,"Ruha","rózsaszín",1,"S"
2,15275,"Ruha","rózsaszín",1,"XL"
9,15275,"Ruha","szürke",1,"L"
3,15275,"Ruha","szürke",1,"M"
2,15275,"Ruha","szürke",1,"S"
5,15275,"Ruha","szürke",1,"XL"
1,15277,"Póló","pink",2,"S"
5,15277,"Póló","szürke",1,"M"
4,15277,"Póló","szürke",1,"S"
2,15277,"Póló","szürke",1,"XL"
1,15278,"Póló","szürke",2,"L"
3,15278,"Top","pink",1,"L"
4,15278,"Top","pink",1,"M"
2,15278,"Top","pink",1,"S"
3,15278,"Top","pink",1,"XL"
11,15278,"Top","szürke",1,"L"
11,15278,"Top","szürke",1,"M"
9,15278,"Top","szürke",1,"S"
10,15278,"Top","szürke",1,"XL"
2,15279,"Kardigán","beige",2,"L"
2,15279,"Kardigán","beige",2,"M"
1,15279,"Kardigán","beige",2,"XL"
3,15280,"Top","ecrü",1,"L"
1,15280,"Top","ecrü",1,"M"
5,15280,"Top","ecrü",1,"XL"
3,15280,"Top","fuxia",1,"L"
5,15280,"Top","fuxia",1,"M"
2,15280,"Top","fuxia",1,"S"
2,15280,"Top","fuxia",1,"XL"
5,15280,"Top","lila",1,"L"
5,15280,"Top","lila",1,"M"
5,15280,"Top","lila",1,"S"
2,15280,"Top","lila",1,"XL"
2,15280,"Top","zöld",1,"M"
3,15280,"Top","zöld",1,"S"
6,15280,"Top","zöld",1,"XL"
2,15281,"Póló","barna",1,"L"
2,15281,"Póló","barna",1,"M"
5,15281,"Póló","barna",1,"S"
2,15281,"Póló","zöld",1,"M"
2,15281,"Póló","zöld",1,"XL"
1,15282,"Kardigán","barna",1,"L"
1,15282,"Kardigán","barna",1,"M"
5,15282,"Kardigán","barna",2,"M"
2,15282,"Kardigán","barna",2,"XL"
1,15282,"Kardigán","türkiz",2,"M"
3,15283,"Szoknya","barna",1,"M"
7,15283,"Szoknya","barna",1,"S"
3,15283,"Szoknya","barna",1,"XL"
2,15283,"Szoknya","fehér",1,"S"
1,15283,"Szoknya","lazac",1,"L"
1,15283,"Szoknya","lazac",1,"M"
1,15283,"Szoknya","türkiz",1,"L"
3,15283,"Szoknya","türkiz",1,"M"
6,15283,"Szoknya","türkiz",1,"S"
6,15283,"Szoknya","zöld",1,"L"
3,15283,"Szoknya","zöld",1,"M"
4,15283,"Szoknya","zöld",1,"S"
2,15283,"Szoknya","zöld",1,"XL"
1,15284,"Pulóver","barna",2,"S"
